"Design Capacity, Installe (kWe)",Flow Rate (m³/hr),Cost (Mil USD)
640,140,0.52392
30,140,0.22496
1149,2000,0.51652
375,420,0.46916
234,123,0.8066
445,228,0.41884
185,307,0.71632
450,520,0.5772
277,53,1.17808
150,360,0.23088
5200,510,3.85096
120,120,5.7054
30,129,0.74296
75,15,1.6798
