Weight (MT),Installed kWe ISO Rated,Cost (Mil USD)
40,4750,3.211
40,4750,3.211
40,4750,2.497
40,4750,2.497
61,6263,4.522
61,6263,4.522
61,6263,4.522
20,1210,1.24
20,1210,1.329
47,3515,1.674
61,5500,2.386
179,15660,6.752
80,7520,3.322
80,7520,3.411
61,5700,3.222
61,5700,3.171
246,31300,10.65
246,31300,19.252
337,25000,14.827
57,4600,3.35
61,5700,3.62
80,7520,5.39
91,9450,6.605
102,10690,7.62
171,14000,9.5
39,5670,3.815
63,7965,4.988
40,17010,3.755
40,17010,4.808
