Pipeline Dia (inch),Pipeline Length (km),Total EPRR Cost (Mil RM)
6,0.594,2.30848
6,0.64,2.308824
6,1.226,2.313213
6,1.226,2.313213
8,1.226,2.316279
6,0.696,2.309243
8,0.683,2.31085
6,0.607,2.308577
8,1.664,2.320669
8,3.139,2.335521
8,3.139,2.335521
10,2.103,2.330371
10,2.217,2.331808
4,2.15,2.314768
4,2.15,2.314768
8,4.515,2.349472
10,0.605,2.311581
10,0.605,2.311581
12,2.771,2.345828
12,0.599,2.313003
12,0.601,2.313033
8,1.599,2.320017
8,1.629,2.320318
8,1.644,2.320468
8,1.796,2.321994
20,47.71,3.837102
16,8.54,2.481123
8,0.225,2.306281
6,0.3,2.306281
6,0.052,2.304429
16,7.04,2.448992
10,4.486,2.360614
10,17.249,2.529933
6,13.5,2.407302
6,13.5,2.407302
10,9.838,2.430108
12,6.955,2.410516
4,4.486,2.326486
8,4.452,2.348831
6,5,2.341704
10,5.2,2.369759
14,123,5.573103
24,123.332,9.315725
16,37.5,3.187271
12,9.5,2.450801
14,9.5,2.476221
5,4.53,2.332414
10,1.3,2.320278
10,1.3,2.320278
10,1.3,2.320278
10,1.3,2.320278
8,5.61,2.360639
12,138,5.406275
7,5.45,2.352054
7,5.81,2.355265
7,2.64,2.327161
7,2.64,2.327161
7,11.78,2.409209
7,2.13,2.322674
7,5.65,2.353837
8,5.65,2.361048
7,4.11,2.340147
8,4.11,2.345356
0,4.56,2.304041
8,4.56,2.34993
8,4.16,2.345864
7,2.1,2.322411
0,5.66,2.304041
8,5.86,2.363197
0,4.16,2.304041
0,4.59,2.304041
10,2.11,2.33046
10,14.99,2.499063
10,6.01,2.380181
10,6.01,2.380181
8.5,5.22,2.359987
9,5.77,2.369669
8.5,0.24,2.30658
38,4.186,2.599007
16,34.5,3.62415
12,16.8,2.705947
12,17,2.712011
10,19,2.676684
16,19,2.967424
28,43,5.509141
20,5.1,2.457052
28,9.6,2.876902
12,5.095,2.356495
16,10.84,2.635034
20,29.4,3.722242
30,42.2,5.700341
18,0.6,2.233847
24,26.2,3.834258
32,53.7,7.158316
20,0.6,2.236755
8,46.49,3.14398
10,51.49,3.523793
7,24,2.621384
7,24,2.621384
5,24,2.501637
5,24,2.501637
16,7.13,2.486954
20,0.86,2.249364
6,4.12,2.267625
20,4.32,2.418554
24,35.19,4.441575
24,35.19,4.441575
8,20.2,2.605346
8,27.81,2.758804
20,27.87,3.638819
8,12.95,2.461008
8,7.88,2.361151
20,7.6,2.58133
8,1.26,2.232103
6,1.9,2.235301
6,0.4,2.213515
8,1.5,2.236755
6,2,2.236755
8,2.39,2.254024
4,0.4,2.21158
6,1.9,2.235301
10,37.78,3.159382
20,39.67,4.295297
8,19.5,2.591331
8,15.5,2.511568
6,3.2,2.254218
16,15.53,2.824952
8,3.05,2.266847
12,9.27,2.479917
24,40.952,4.844044
6,0.586,2.216214
16,12.545,2.703725
16,12.545,2.703725
10,0.65,2.223434
16,12.808,2.714356
10,0.634,2.223047
6,0.586,2.216214
18,15.576,2.906577
6,0.917,2.221019
6,0.975,2.221861
6,1.815,2.234065
6,1.829,2.234269
8,1.75,2.241603
8,2.8,2.261988
10,2.9,2.278032
24,125,11.888622
